Year,Documents,Citations
2009,3,0
2010,2,5
2011,1,7
2012,0,3
2013,0,4
2014,0,4
2015,1,0
2016,11,4
2017,2,7
2018,5,8
2019,9,19
2020,11,30
2021,16,42
2022,11,150
2023,5,122
2024,4,142
2025,2,39
