Year,Documents,Citations
2012,1,0
2013,3,1
2014,3,8
2015,4,5
2016,3,17
2017,0,6
2018,2,15
2019,2,21
2020,5,25
2021,6,135
2022,18,77
2023,15,80
2024,11,101
2025,5,22
