Year,Documents,Citations
2006,1,0
2009,4,4
2010,2,3
2011,0,7
2012,4,4
2013,5,5
2014,1,13
2015,3,16
2016,6,13
2017,4,11
2018,5,16
2019,13,23
2020,5,50
2021,6,74
2022,5,113
2023,9,148
2024,8,209
2025,0,47
